strain	host	type	country	date
FCoV1_2357_M21MF_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2364_M40MF_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2610_M25_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2598_M47_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2598_M44_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2364_M37MF_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2357_M28MF_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2396_M12MF_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2396_M17MF_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2357_M23MF_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_2610_M28_MED_COL	Domestic_cat	GSC	Colombia	2020
FCoV1_OM1164_pallas_cat_USA_2008_PP854701	Pallas_cat	GSC	USA	2008
FCoV1_DCB091_USA_2008_PP854702	Domestic_cat	GSC	USA	2008
FCoV2_DC_597_PA_USA_2016	Domestic_cat	GSC	USA	2016
FCoV2_178_3_TN_USA_2011	Domestic_cat	GSC	USA	2011
FCoV2_186_5_TN_USA_2011	Domestic_cat	GSC	USA	2011
FCoV1_DC_344_AR_USA_2013	Domestic_cat	GSC	USA	2013
FCoV1_1327_2_FL_USA_2024	Domestic_cat	GSC	USA	2024
FCoV2_DC_344_AR_USA_2013	Domestic_cat	GSC	USA	2013
FCoV2_DC_346_AR_USA_2013	Domestic_cat	GSC	USA	2013
FCoV1_1197_1_NY_USA_6FEB23	Domestic_cat	GSC	USA	2023
FCoV1_1197_11_NY_USA_20OCT24	Domestic_cat	GSC	USA	2024
FCoV1_1197_24_NY_USA_2JULY25	Domestic_cat	GSC	USA	2025
FCoV1_1197_9_NY_USA_23SEPT24	Domestic_cat	GSC	USA	2024
FCoV1_1197_13_NY_USA_10DEC24	Domestic_cat	GSC	USA	2024
FCoV1_1197_16_NY_USA_13JAN25	Domestic_cat	GSC	USA	2025
FCoV1_1197_17_NY_USA_2FEB25	Domestic_cat	GSC	USA	2025
FCoV1_1197_18_NY_USA_16FEB25	Domestic_cat	GSC	USA	2025
FCoV1_1197_21_NY_USA_7APRIL25	Domestic_cat	GSC	USA	2025
FCoV1_1197_22_NY_USA_6JUNE25	Domestic_cat	GSC	USA	2025
FCoV1_1197_3_NY_USA_5APRIL23	Domestic_cat	GSC	USA	2023
FCoV1_1197_4_NY_USA_11JULY23	Domestic_cat	GSC	USA	2023
FCoV1_1197_5_NY_USA_24JUNE24	Domestic_cat	GSC	USA	2024
FCoV1_1197_6_NY_USA_27JUNE24	Domestic_cat	GSC	USA	2024
FCoV1_FPV3_2017_Australia_ON595855	Domestic_cat	not_GSC	Australia	2017
FCoV2_79_1146_USA_1979_AY994055	Domestic_cat	not_GSC	USA	1979
FCoV1_UU11_Netherlands_2007_FJ938052	Domestic_cat	not_GSC	Netherlands	2007
FCoV1_UU10_Netherlands_2007_FJ938059	Domestic_cat	not_GSC	Netherlands	2007
FCoV1_UU8_Netherlands_2007_FJ938055	Domestic_cat	not_GSC	Netherlands	2007
FCoV1_UU9_Netherlands_2007_FJ938062	Domestic_cat	not_GSC	Netherlands	2007
FCoV1_UU31_Netherlands_2008_HQ012371	Domestic_cat	not_GSC	Netherlands	2008
FCoV1_UU30_Netherlands_2008_HQ392472	Domestic_cat	not_GSC	Netherlands	2008
