strain	sample	host	type	accession	date	country	state
FCoV111HRBef	effusion_fluid	Domestic_cat	FCoV1	KY566210	2016-11-11	China	XX
FCoV1HLJHRB	effusion_fluid	Domestic_cat	FCoV1	KY566209	2016-11-11	China	XX
FCoV1UU24	XXX	Domestic_cat	FCoV1	HQ012370	2008-01-03	Netherlands	XX
FCoV1UU30	XXX	Domestic_cat	FCoV1	HQ392472	2008-01-22	Netherlands	XX
FCoV1UU23	XXX	Domestic_cat	FCoV1	GU553362	2007-09-13	Netherlands	XX
FCoV1UU22	XXX	Domestic_cat	FCoV1	GU553361	2007-09-13	Netherlands	XX
FCoV1UU5	XXX	Domestic_cat	FCoV1	FJ938056	2007-03-07	Netherlands	XX
FCoV1C1Je	Jejunum	Domestic_cat	FCoV1	DQ848678	2002-04-12	United Kingdom	XX
FCoV1UU20	XXX	Domestic_cat	FCoV1	HQ392471	2007-08-23	Netherlands	XX
FCoV1felix	XXX	Domestic_cat	FCoV1	MG893511	2012-07-12	Germany	XX
FCoV1UU17	XXX	Domestic_cat	FCoV1	HQ012367	2007-07-17	Netherlands	XX
FCoV126M	XXX	Domestic_cat	FCoV1	KP143512	2013-01-01	United Kingdom	XX
FCoV180F	XXX	Domestic_cat	FCoV1	KP143511	2013-01-01	United Kingdom	XX
FCoV167F	XXX	Domestic_cat	FCoV1	KP143510	2013-01-01	United Kingdom	XX
FCoV165F	XXX	Domestic_cat	FCoV1	KP143509	2013-01-01	United Kingdom	XX
FCoV127C	XXX	Domestic_cat	FCoV1	KP143507	2013-01-01	United Kingdom	XX
FCoV2NTU156	Pleural_fluid	Domestic_cat	FCoV2	GQ152141	2007-09-11	Taiwan	XX
					
